date,n1,n2,n3,n4,n5,s1,s2
20160927,6,9,13,39,41,2,12
20160930,17,35,37,43,44,2,10
20161004,4,7,14,34,38,4,11
20161007,2,12,20,27,30,9,11
20161011,5,12,20,24,37,4,11
20161014,7,13,19,31,34,1,11
20161018,2,17,21,25,27,6,9
20161021,9,20,23,44,48,8,10
20161025,3,15,20,21,28,1,5
20161028,10,16,19,23,43,2,8
20161101,6,10,20,29,37,1,9
20161104,7,11,12,44,48,3,7
20161108,5,9,47,49,50,8,9
20161111,3,22,23,38,49,2,9
20161115,7,15,36,42,48,3,7
20161118,3,12,27,32,47,6,8
20161122,5,10,33,34,47,2,10
20161125,5,11,17,23,28,10,11
20161129,21,26,27,28,38,9,11
20161202,6,11,23,31,32,2,12
20161206,1,7,11,27,45,4,9
20161209,6,12,28,37,40,1,5
20161213,14,28,29,48,50,2,8
20161216,6,10,30,41,45,4,11
20161220,13,15,17,21,27,2,3
20161223,4,16,20,39,46,2,5
20161227,3,22,25,32,39,7,12
20161230,8,10,22,29,47,1,3
20170103,19,23,27,34,49,1,11
20170106,10,14,18,21,49,9,11
20170110,2,11,29,35,44,4,9
20170113,3,7,16,26,50,4,7
20170117,4,16,25,43,47,2,10
20170120,10,17,27,31,49,3,5
20170124,1,5,7,17,23,3,8
20170127,17,20,28,45,48,5,9
20170131,3,4,17,23,44,6,9
20170203,3,4,15,46,50,5,9
20170207,4,10,31,38,44,8,10
20170210,7,21,26,35,43,2,9
20170214,2,10,24,40,44,3,10
20170217,19,25,33,36,48,2,9
20170221,13,19,41,45,49,3,4
20170224,2,4,13,22,43,8,9
20170228,10,20,31,35,42,2,12
20170303,2,11,29,30,47,1,12
20170307,6,37,41,48,50,4,5
20170310,31,36,38,47,49,8,11
20170314,3,5,21,36,44,3,6
20170317,6,10,19,29,36,3,9
20170321,1,20,23,44,47,4,11
20170324,2,17,21,27,34,5,9
20170328,9,13,31,33,46,6,10
20170331,17,24,26,28,45,4,12
20170404,1,9,24,33,34,2,6
20170407,2,10,19,35,50,6,7
20170411,5,21,22,31,49,2,8
20170414,4,14,20,23,33,6,10
20170418,17,22,31,38,45,5,12
20170421,2,13,16,22,49,4,5
20170425,9,11,19,32,43,3,9
20170428,14,20,25,30,39,2,8
20170502,6,19,23,25,27,11,12
20170505,3,7,30,35,43,1,3
20170509,8,12,16,22,26,6,7
20170512,2,20,28,29,44,3,9
20170516,8,11,15,20,30,3,8
20170519,9,11,12,19,30,4,9
20170523,8,15,25,27,42,1,4
20170526,5,7,26,36,39,2,10
20170530,7,12,27,38,48,6,9
20170602,8,10,24,33,42,3,9
20170606,20,22,25,37,40,3,7
20170609,9,20,27,39,43,10,11
20170613,3,12,22,27,49,4,11
20170616,15,17,38,41,42,9,12
20170620,11,18,26,43,44,8,10
20170623,3,4,21,31,38,3,7
20170627,9,17,21,28,45,1,3
20170630,17,35,39,47,50,6,8
20170704,10,22,25,37,49,5,8
20170707,11,20,35,37,45,3,6
20170711,14,22,26,42,50,8,10
20170714,11,14,20,21,47,7,10
20170718,1,25,27,41,45,5,7
20170721,1,8,9,26,49,5,9
20170725,12,14,43,44,48,2,11
20170728,5,9,29,31,41,2,4
20170801,14,21,24,29,30,8,10
20170804,29,30,36,40,41,2,9
20170808,15,25,26,40,41,4,5
20170811,18,28,39,46,48,5,12
20170815,10,14,30,35,46,4,10
20170818,2,24,39,42,45,2,8
20170822,3,10,12,17,27,3,5
20170825,1,5,7,15,47,9,12
20170829,4,12,15,32,38,1,5
20170901,3,7,8,14,49,5,8
20170905,6,9,18,28,29,1,9
20170908,9,24,42,47,49,1,5
20170912,10,17,27,29,35,4,11
20170915,13,18,37,44,49,9,12
20170919,1,8,21,30,45,2,3
20170922,6,11,31,39,42,1,3
20170926,1,29,40,41,48,6,12
20170929,7,18,19,32,48,3,7
20171003,6,24,32,48,50,1,5
20171006,1,9,15,19,25,1,7
20171010,4,21,34,36,37,3,6
20171013,23,29,37,45,50,5,11
20171017,13,17,19,26,36,2,3
20171020,4,17,23,27,30,3,8
20171024,9,11,13,27,33,7,10
20171027,3,16,23,32,39,1,4
20171031,1,12,36,43,46,3,5
20171103,5,12,17,33,41,4,9
20171107,7,19,20,37,41,2,12
20171110,13,22,29,36,37,1,9
20171114,14,16,39,40,41,8,10
20171117,20,26,35,36,42,5,12
20171121,2,10,14,28,31,5,7
20171124,19,24,28,30,50,3,10
20171128,1,6,12,18,42,2,7
20171201,5,24,29,35,46,11,12
20171205,11,36,43,44,48,2,7
20171208,4,22,30,32,34,3,4
20171212,20,37,39,44,50,4,8
20171215,25,30,31,42,50,2,11
20171219,8,15,30,38,46,4,7
20171222,5,24,30,31,43,3,6
20171226,4,17,30,43,44,2,10
20171229,4,8,22,23,48,1,12
20180102,10,20,21,28,48,1,8
20180105,2,5,20,38,41,4,8
20180109,6,12,15,38,49,2,9
20180112,13,21,23,30,45,4,6
20180116,20,23,31,34,46,3,12
20180119,3,8,17,44,50,2,7
20180123,5,8,9,23,24,7,8
20180126,6,15,24,28,48,4,9
20180130,11,15,21,27,35,4,5
20180202,14,34,36,39,48,2,3
20180206,8,17,28,34,38,6,12
20180209,22,31,36,38,44,1,11
20180213,10,13,17,21,44,1,10
20180216,10,12,23,32,50,4,10
20180220,6,14,19,25,29,5,11
20180223,10,17,18,28,47,3,7
20180227,3,31,41,48,50,8,11
20180302,2,7,34,45,48,1,12
20180306,15,20,26,31,44,2,9
20180309,9,14,21,32,44,1,12
20180313,9,11,13,33,49,6,12
20180316,4,17,24,27,31,10,11
20180320,26,29,37,39,44,9,11
20180323,5,7,11,46,50,8,11
20180327,17,20,23,40,46,9,10
20180330,12,17,28,35,47,7,11
20180403,3,8,16,40,43,5,8
20180406,1,29,33,45,47,4,8
20180410,14,27,39,46,48,11,12
20180413,5,25,34,48,50,6,7
20180417,15,27,33,39,50,4,6
20180420,3,16,25,39,44,7,11
20180424,20,23,28,30,44,3,7
20180427,12,24,40,41,46,5,12
20180501,6,15,17,42,48,4,6
20180504,6,12,23,39,45,9,12
20180508,17,25,35,39,44,2,5
20180511,3,22,34,49,50,8,11
20180515,4,16,20,31,39,2,12
20180518,5,8,10,13,31,3,6
20180522,1,11,37,41,48,8,12
20180525,13,15,16,28,41,4,5
20180529,6,11,20,38,43,2,4
20180601,17,18,24,29,40,4,5
20180605,9,15,22,39,46,4,5
20180608,8,19,32,43,46,2,8
20180612,7,21,23,36,38,6,8
20180615,23,26,33,38,49,1,12
20180619,7,19,26,42,50,4,9
20180622,14,25,39,41,44,2,8
20180626,15,16,20,34,50,4,7
20180629,15,21,23,40,48,3,12
20180703,1,12,15,29,48,3,5
20180706,8,30,33,38,48,2,10
20180710,3,8,26,33,45,7,10
20180713,1,4,14,21,49,2,12
20180717,4,6,27,48,50,1,11
20180720,2,15,40,43,46,3,6
20180724,2,4,23,39,40,3,9
20180727,11,17,22,23,41,6,11
20180731,20,25,34,42,45,6,11
20180803,7,26,36,38,43,6,12
20180807,16,28,29,30,36,8,10
20180810,18,20,36,43,44,3,9
20180814,1,15,18,25,31,9,11
20180817,2,15,18,24,43,8,12
20180821,16,23,42,43,49,10,12
20180824,3,14,31,36,50,1,12
20180828,4,16,32,42,46,8,12
20180831,4,30,31,38,42,4,6
20180904,5,14,28,30,47,4,11
20180907,4,23,27,31,50,1,8
